Abaca, n., The Manila-hemp plant (Musa textilis); also
Cooey, n., Alt. of Cooee
Cooee, n., A peculiar whistling sound made by the Australian aborigenes as a call or signal.
Cooky, n., A small
Cooly, n., Alt. of Coolie
Coomb, n., A dry measure of four bushels
Coomb, n., Alt. of Coombe
Coopt, v. t., To choose or elect in concert with another.
Copal, , A resinous substance flowing spontaneously from trees of Zanzibar
Coped, imp. & p. p., of Cope
Coped, a., Clad in a cope.
Copps, n., See Copse.
Copra, n., The dried meat of the cocoanut
Copse, n., A wood of small growth; a thicket of brushwood. See Coppice.
Copse, v. t., To trim or cut; -- said of small trees
Copse, v. t., To plant and preserve
Copsy, a., Characterized by copses.
Copts, n. pl., An Egyptian race thought to be descendants of the ancient Egyptians.
Copts, n. pl., The principal sect of Christians in Egypt and the valley of the Nile.
Coral, n., The hard parts or skeleton of various Anthozoa
Coral, n., The ovaries of a cooked lobster; -- so called from their color.
Coral, n., A piece of coral
Corbe, a., Crooked.
Corby, n., The raven.
Corby, n., A raven
Corer, n., That which cores; an instrument for coring fruit; as
Corky, a., Consisting of
Corky, a., Tasting of cork.
Cornu, n., A horn
Corny, a., Strong
Corny, a., Producing corn or grain; furnished with grains of corn.
Corny, a., Containing corn; tasting well of malt.
Corny, a., Tipsy.
Corol, n., A corolla.
Corps, n. sing. & pl., The human body
Corps, n. sing. & pl., A body of men; esp.
Corps, n. sing. & pl., A body or code of laws.
Corps, n. sing. & pl., The land with which a prebend or other ecclesiastical office is endowed.
Corse, n., A living body or its bulk.
Corse, n., A corpse; the dead body of a human being.
Corve, n., See Corf.
Cosen, v. t., See Cozen.
Cosey, a., See Cozy.
Costa, n., A rib of an animal or a human being.
Costa, n., A rib or vein of a leaf
Costa, n., The anterior rib in the wing of an insect.
Costa, n., One of the riblike longitudinal ridges on the exterior of many corals.
Couch, v. t., To lay upon a bed or other resting place.
Couch, v. t., To arrange or dispose as in a bed; -- sometimes followed by the reflexive pronoun.
Couch, v. t., To lay or deposit in a bed or layer; to bed.
Couch, v. t., To transfer (as sheets of partly dried pulp) from the wire cloth mold to a felt blanket
Couch, v. t., To conceal; to include or involve darkly.
Couch, v. t., To arrange; to place; to inlay.
Couch, v. t., To put into some form of language; to express; to phrase; -- used with in and under.
Couch, v. t., To treat by pushing down or displacing the opaque lens with a needle; as
Couch, v. i., To lie down or recline
Couch, v. i., To lie down for concealment; to hide; to be concealed; to be included or involved darkly.
Couch, v. i., To bend the body
Couch, v. t., A bed or place for repose or sleep; particularly
Couch, v. t., Any place for repose
Couch, v. t., A mass of steeped barley spread upon a floor to germinate
Couch, v. t., A preliminary layer
Cough, v. i., To expel air
Cough, v. t., To expel from the lungs or air passages by coughing; -- followed by up; as
Cough, v. t., To bring to a specified state by coughing; as
Cough, v. i., A sudden
Cough, v. i., The more or less frequent repetition of coughing
Could, imp., Was
Count, v. t., To tell or name one by one
Count, v. t., To place to an account; to ascribe or impute; to consider or esteem as belonging.
Count, v. t., To esteem; to account; to reckon; to think
Count, v. i., To number or be counted; to possess value or carry weight; hence
Count, v. i., To reckon; to rely; to depend; -- with on or upon.
Count, v. i., To take account or note; -- with
Count, v. i., To plead orally; to argue a matter in court; to recite a count.
Count, v. t., The act of numbering; reckoning; also
Count, v. t., An object of interest or account; value; estimation.
Count, v. t., A formal statement of the plaintiff's case in court; in a more technical and correct sense
Count, n., A nobleman on the continent of Europe
Coupe, n., The front compartment of a French diligence; also
Coupe, n., A four-wheeled close carriage for two persons inside
Courb, a., Curved; rounded.
Courb, v. i., To bend; to stop; to bow.
Court, n., An inclosed space; a courtyard; an uncovered area shut in by the walls of a building
Court, n., The residence of a sovereign
Court, n., The collective body of persons composing the retinue of a sovereign or person high in authority; all the surroundings of a sovereign in his regal state.
Court, n., Any formal assembling of the retinue of a sovereign; as
Court, n., Attention directed to a person in power; conduct or address designed to gain favor; courtliness of manners; civility; compliment; flattery.
Court, n., The hall
Court, n., The persons officially assembled under authority of law
Court, n., A tribunal established for the administration of justice.
Court, n., The judge or judges; as distinguished from the counsel or jury
Court, n., The session of a judicial assembly.
Court, n., Any jurisdiction
Court, n., A place arranged for playing the game of tennis; also
Court, v. t., To endeavor to gain the favor of by attention or flattery; to try to ingratiate one's self with.
Court, v. t., To endeavor to gain the affections of; to seek in marriage; to woo.
Court, v. t., To attempt to gain; to solicit; to seek.
Court, v. t., To invite by attractions; to allure; to attract.
Court, v. i., To play the lover; to woo; as
Couth, imp. & p. p., Could; was able; knew or known; understood.
Coved, imp. & p. p., of Cove
Cover, v. t., To overspread the surface of (one thing) with another; as
Cover, v. t., To envelop; to clothe
Cover, v. t., To invest (one's self with something); to bring upon (one's self); as
Cover, v. t., To hide sight; to conceal; to cloak; as
Cover, v. t., To brood or sit on; to incubate.
Cover, v. t., To shelter
Cover, v. t., To remove from remembrance; to put away; to remit.
Cover, v. t., To extend over; to be sufficient for; to comprehend
Cover, v. t., To put the usual covering or headdress on.
Cover, v. t., To copulate with (a female); to serve; as
Cover, n., Anything which is laid
Cover, n., Anything which veils or conceals; a screen; disguise; a cloak.
Cover, n., Shelter; protection; as
Cover, n., The woods
Cover, n., The lap of a slide valve.
Cover, n., A tablecloth
Cover, v. i., To spread a table for a meal; to prepare a banquet.
Covet, v. t., To wish for with eagerness; to desire possession of; -- used in a good sense.
Covet, v. t., To long for inordinately or unlawfully; to hanker after (something forbidden).
Covet, v. i., To have or indulge inordinate desire.
Covey, n., A brood or hatch of birds; an old bird with her brood of young; hence
Covey, n., A company; a bevy; as
Covey, v. i., To brood; to incubate.
Covey, n., A pantry.
Covin, n., A collusive agreement between two or more persons to prejudice a third.
Covin, n., Deceit; fraud; artifice.
Cowed, imp. & p. p., of Cow
Cowan, n., One who works as a mason without having served a regular apprenticeship.
Cower, v. i., To stoop by bending the knees; to crouch; to squat; hence
Cower, v. t., To cherish with care.
Cowry, n., A marine shell of the genus Cypraea.
Coyed, imp. & p. p., of Coy
Coyly, adv., In a coy manner; with reserve.
Coypu, n., A South American rodent (Myopotamus coypus)
Cozen, v. t., To cheat; to defraud; to beguile; to deceive
Cozen, v. i., To deceive; to cheat; to act deceitfully.
Crack, v. t., To break or burst
Crack, v. t., To rend with grief or pain; to affect deeply with sorrow; hence
Crack, v. t., To cause to sound suddenly and sharply; to snap; as
Crack, v. t., To utter smartly and sententiously; as
Crack, v. t., To cry up; to extol; -- followed by up.
Crack, v. i., To burst or open in chinks; to break
Crack, v. i., To be ruined or impaired; to fail.
Crack, v. i., To utter a loud or sharp
Crack, v. i., To utter vain
Crack, n., A partial separation of parts
Crack, n., Rupture; flaw; breach
Crack, n., A sharp
Crack, n., The tone of voice when changed at puberty.
Crack, n., Mental flaw; a touch of craziness; partial insanity; as
Crack, n., A crazy or crack-brained person.
Crack, n., A boast; boasting.
Crack, n., Breach of chastity.
Crack, n., A boy
Crack, n., A brief time; an instant; as
Crack, n., Free conversation; friendly chat.
Crack, a., Of superior excellence; having qualities to be boasted of.
Craft, n., Strength; might; secret power.
Craft, n., Art or skill; dexterity in particular manual employment; hence
Craft, n., Those engaged in any trade
Craft, n., Cunning
Craft, n., A vessel; vessels of any kind; -- generally used in a collective sense.
Craft, v. t., To play tricks; to practice artifice.
Craie, n., See Crare.
Crail, n., A creel or osier basket.
Crake, v. t. & i., To cry out harshly and loudly
Crake, v. t. & i., To boast; to speak loudly and boastfully.
Crake, n., A boast. See Crack
Crake, n., Any species or rail of the genera Crex and Porzana; -- so called from its singular cry. See Corncrake.
Cramp, n., That which confines or contracts; a restraint; a shackle; a hindrance.
Cramp, n., A device
Cramp, n., A rectangular frame
Cramp, n., A piece of wood having a curve corresponding to that of the upper part of the instep
Cramp, n., A spasmodic and painful involuntary contraction of a muscle or muscles
Cramp, v. t., To compress; to restrain from free action; to confine and contract; to hinder.
Cramp, v. t., To fasten or hold with
Cramp, v. t., to bind together; to unite.
Cramp, v. t., To form on a cramp; as
Cramp, v. t., To afflict with cramp.
Cramp, n., Knotty; difficult.
Crane, n., A measure for fresh herrings
Crane, n., A wading bird of the genus Grus
Crane, n., A machine for raising and lowering heavy weights
Crane, n., An iron arm with horizontal motion
Crane, n., A siphon
Crane, n., A forked post or projecting bracket to support spars
Crane, v. t., To cause to rise; to raise or lift
Crane, v. t., To stretch
Crane, v. i., to reach forward with head and neck
Crang, n., See Krang.
Crank, n., A bent portion of an axle
Crank, n., Any bend
Crank, n., A twist or turn in speech; a conceit consisting in a change of the form or meaning of a word.
Crank, n., A twist or turn of the mind; caprice; whim; crotchet; also
Crank, n., A person full of crotchets; one given to fantastic or impracticable projects; one whose judgment is perverted in respect to a particular matter.
Crank, n., A sick person; an invalid.
Crank, n., Sick; infirm.
Crank, n., Liable to careen or be overset
Crank, n., Full of spirit; brisk; lively; sprightly; overconfident; opinionated.
Crank, n., To run with a winding course; to double; to crook; to wind and turn.
Crape, n., A thin
Crape, n., To form into ringlets; to curl; to crimp; to friz; as
Craps, n., A gambling game with dice.
Crapy, a., Resembling crape.
Crare, n., A slow unwieldy trading vessel.
Crase, v. t., To break in pieces; to crack.
Crash, v. t., To break in pieces violently; to dash together with noise and violence.
Crash, v. i., To make a loud
Crash, v. i., To break with violence and noise; as
Crash, n., A loud
Crash, n., Ruin; failure; sudden breaking down
Crash, n., Coarse
Crass, a., Gross; thick; dense; coarse; not elaborated or refined.
Crate, n., A large basket or hamper of wickerwork
Crate, n., A box or case whose sides are of wooden slats with interspaces
Crate, v. t., To pack in a crate or case for transportation; as
Crave, v. t., To ask with earnestness or importunity; to ask with submission or humility; to beg; to entreat; to beseech; to implore.
Crave, v. t., To call for
Crave, v. i., To desire strongly; to feel an insatiable longing; as
-fish, pl., of Crayfish
Crawl, v. i., To move slowly by drawing the body along the ground
Crawl, v. i., to move or advance in a feeble
Crawl, v. i., To advance slowly and furtively; to insinuate one's self; to advance or gain influence by servile or obsequious conduct.
Crawl, v. i., To have a sensation as of insect creeping over the body; as
Crawl, n., The act or motion of crawling; slow motion
Crawl, n., A pen or inclosure of stakes and hurdles on the seacoast
Craze, v. t., To break into pieces; to crush; to grind to powder. See Crase.
Craze, v. t., To weaken; to impair; to render decrepit.
Craze, v. t., To derange the intellect of; to render insane.
Craze, v. i., To be crazed
Craze, v. i., To crack
Craze, n., Craziness; insanity.
Craze, n., A strong habitual desire or fancy; a crotchet.
Craze, n., A temporary passion or infatuation
Crazy, a., Characterized by weakness or feebleness; decrepit; broken; falling to decay; shaky; unsafe.
Crazy, a., Broken
Crazy, a., Inordinately desirous; foolishly eager.
Creak, v. i., To make a prolonged sharp grating or squeaking sound
Creak, v. t., To produce a creaking sound with.
Creak, n., The sound produced by anything that creaks; a creaking.
Cream, n., The rich
Cream, n., The part of any liquor that rises
Cream, n., A delicacy of several kinds prepared for the table from cream
Cream, n., A cosmetic; a creamlike medicinal preparation.
Cream, n., The best or choicest part of a thing; the quintessence; as
Cream, v. t., To skim
Cream, v. t., To take off the best or choicest part of.
Cream, v. t., To furnish with
Cream, v. i., To form or become covered with cream; to become thick like cream; to assume the appearance of cream; hence
Creat, n., An usher to a riding master.
Credo, n., The creed
Creed, v. t., A definite summary of what is believed; esp.
Creed, v. t., Any summary of principles or opinions professed or adhered to.
Creed, v. t., To believe; to credit.
Creek, n., A small inlet or bay
Creek, n., A stream of water smaller than a river and larger than a brook.
Creek, n., Any turn or winding.
Creel, n., An osier basket
Creel, n., A bar or set of bars with skewers for holding paying-off bobbins
Crept, imp., of Creep
Crope, , of Creep
Crept, p. p., of Creep
Creep, v. t., To move along the ground
Creep, v. t., To move slowly
Creep, v. t., To move in a stealthy or secret manner; to move imperceptibly or clandestinely; to steal in; to insinuate itself or one's self; as
Creep, v. t., To slip
Creep, v. t., To move or behave with servility or exaggerated humility; to fawn; as
Creep, v. t., To grow
Creep, v. t., To have a sensation as of insects creeping on the skin of the body; to crawl; as
Creep, v. i., To drag in deep water with creepers
Creep, n., The act or process of creeping.
Creep, n., A distressing sensation
Creep, n., A slow rising of the floor of a gallery
Crees, n. pl., An Algonquin tribe of Indians
Crems, n., See Krems.
Crepe, n., Same as Crape.
Crept, , imp. & p. p. of Creep.
Cress, n., A plant of various species
Crest, n., A tuft
Crest, n., The plume of feathers
Crest, n., A bearing worn
Crest, n., The upper curve of a horse's neck.
Crest, n., The ridge or top of a wave.
Crest, n., The summit of a hill or mountain ridge.
Crest, n., The helm or head
Crest, n., The ornamental finishing which surmounts the ridge of a roof
Crest, n., The top line of a slope or embankment.
Crest, v. t., To furnish with
Crest, v. t., To mark with lines or streaks
Crest, v. i., To form a crest.
Crete, n., A Cretan
Creux, n., Used in English only in the expression en creux. Thus
Crick, n., The creaking of a door
Crick, n., A painful
Crick, n., A small jackscrew.
Cried, , imp. & p. p. of Cry.
Crier, n., One who cries; one who makes proclamation.
Crier, n., an officer who proclaims the orders or directions of a court
Crime, n., Any violation of law
Crime, n., Gross violation of human law
Crime, n., Any great wickedness or sin; iniquity.
Crime, n., That which occasion crime.
Crimp, v. t., To fold or plait in regular undulation in such a way that the material will retain the shape intended; to give a wavy appearance to; as
Crimp, v. t., To pinch and hold; to seize.
Crimp, v. t., to entrap into the military or naval service; as
Crimp, v. t., To cause to contract
Crimp, a., Easily crumbled; friable; brittle.
Crimp, a., Weak; inconsistent; contradictory.
Crimp, n., A coal broker.
Crimp, n., One who decoys or entraps men into the military or naval service.
Crimp, n., A keeper of a low lodging house where sailors and emigrants are entrapped and fleeced.
Crimp, n., Hair which has been crimped; -- usually in pl.
Crimp, n., A game at cards.
Crisp, a., Curling in stiff curls or ringlets; as
Crisp, a., Curled with the ripple of the water.
Crisp, a., Brittle; friable; in a condition to break with a short
Crisp, a., Possessing a certain degree of firmness and freshness; in a fresh
Crisp, a., Lively; sparking; effervescing.
Crisp, a., Brisk; crackling; cheerful; lively.
Crisp, a., To curl; to form into ringlets
Crisp, a., To cause to undulate irregularly
Crisp, a., To make crisp or brittle
Crisp, v. i., To undulate or ripple. Cf. Crisp
Crisp, n., That which is crisp or brittle; the state of being crisp or brittle; as
Crith, n., The unit for estimating the weight of a/riform substances; -- the weight of a liter of hydrogen at 0/ centigrade
Croak, v. i., To make a low
Croak, v. i., To complain; especially
Croak, v. t., To utter in a low
Croak, n., The coarse
Croat, n., A native of Croatia
Croat, n., An irregular soldier
Crock, n., The loose black particles collected from combustion
Crock, v. t., To soil by contact
Crock, v. i., To give off crock or smut.
Crock, n., A low stool.
Crock, n., Any piece of crockery
Crock, v. t., To lay up in a crock; as
Croft, n., A small
Crois, n., See Cross
Croma, n., A quaver.
Crone, n., An old ewe.
Crone, n., An old woman; -- usually in contempt.
Crone, n., An old man; especially
Crony, n., A crone.
Crony, n., An intimate companion; a familiar frend
Crook, n., A bend
Crook, n., Any implement having a bent or crooked end.
Crook, n., The staff used by a shepherd
Crook, n., A bishop's staff of office. Cf. Pastoral staff.
Crook, n., A pothook.
Crook, n., An artifice; trick; tricky device; subterfuge.
Crook, n., A small tube
Crook, n., A person given to fraudulent practices; an accomplice of thieves
Crook, n., To turn from a straight line; to bend; to curve.
Crook, n., To turn from the path of rectitude; to pervert; to misapply; to twist.
Crook, v. i., To bend; to curve; to wind; to have a curvature.
Croon, v. i., To make a continuous hollow moan
Croon, v. i., To hum or sing in a low tone; to murmur softly.
Croon, v. t., To sing in a low tone
Croon, v. t., To soothe by singing softly.
Croon, n., A low
Croon, n., A low singing; a plain
Crore, n., Ten millions; as
Cross, n., A gibbet
Cross, n., The sign or mark of the cross
Cross, n., Affiction regarded as a test of patience or virtue; trial; disappointment; opposition; misfortune.
Cross, n., A piece of money stamped with the figure of a cross
Cross, n., An appendage or ornament or anything in the form of a cross; a badge or ornamental device of the general shape of a cross; hence
Cross, n., A monument in the form of a cross
Cross, n., A common heraldic bearing
Cross, n., The crosslike mark or symbol used instead of a signature by those unable to write.
Cross, n., Church lands.
Cross, n., A line drawn across or through another line.
Cross, n., A mixing of breeds or stock
Cross, n., An instrument for laying of offsets perpendicular to the main course.
Cross, n., A pipe-fitting with four branches the axes of which usually form's right angle.
Cross, a., Not parallel; lying or falling athwart; transverse; oblique; intersecting.
Cross, a., Not accordant with what is wished or expected; interrupting; adverse; contrary; thwarting; perverse.
Cross, a., Characterized by
Cross, a., Made in an opposite direction
Cross, prep., Athwart; across.
Cross, v. t., To put across or athwart; to cause to intersect; as
Cross, v. t., To lay or draw something
Cross, v. t., To pass from one side to the other of; to pass or move over; to traverse; as
Cross, v. t., To pass
Cross, v. t., To run counter to; to thwart; to obstruct; to hinder; to clash or interfere with.
Cross, v. t., To interfere and cut off; to debar.
Cross, v. t., To make the sign of the cross upon; -- followed by the reflexive pronoun; as
Cross, v. t., To cancel by marking crosses on or over
Cross, v. t., To cause to interbreed; -- said of different stocks or races; to mix the breed of.
Cross, v. i., To lie or be athwart.
Cross, v. i., To move or pass from one side to the other
Cross, v. i., To be inconsistent.
Cross, v. i., To interbreed
Croud, n., See Crowd
Croup, n., The hinder part or buttocks of certain quadrupeds
Croup, n., An inflammatory affection of the larynx or trachea
Crout, n., See Sourkrout.
Crown, , of Crow
Crowd, v. t., To push
Crowd, v. t., To press or drive together; to mass together.
Crowd, v. t., To fill by pressing or thronging together; hence
Crowd, v. t., To press by solicitation; to urge; to dun; hence
Crowd, v. i., To press together or collect in numbers; to swarm; to throng.
Crowd, v. i., To urge or press forward; to force one's self; as
Crowd, v. t., A number of things collected or closely pressed together; also
Crowd, v. t., A number of persons congregated or collected into a close body without order; a throng.
Crowd, v. t., The lower orders of people; the populace; the vulgar; the rabble; the mob.
Crowd, n., An ancient instrument of music with six strings; a kind of violin
Crowd, v. t., To play on a crowd; to fiddle.
Crown, , p. p. of Crow.
Crown, n., A wreath or garland
Crown, n., A royal headdress or cap of sovereignty
Crown, n., The person entitled to wear a regal or imperial crown; the sovereign; -- with the definite article.
Crown, n., Imperial or regal power or dominion; sovereignty.
Crown, n., Anything which imparts beauty
Crown, n., Highest state; acme; consummation; perfection.
Crown, n., The topmost part of anything; the summit.
Crown, n., The topmost part of the head (see Illust. of Bird.); that part of the head from which the hair descends toward the sides and back; also
Crown, n., The part of a hat above the brim.
Crown, n., The part of a tooth which projects above the gum; also
Crown, n., The vertex or top of an arch; -- applied generally to about one third of the curve
Crown, n., Same as Corona.
Crown, n., That part of an anchor where the arms are joined to the shank.
Crown, n., The rounding
Crown, n., The bights formed by the several turns of a cable.
Crown, n., The upper range of facets in a rose diamond.
Crown, n., The dome of a furnace.
Crown, n., The area inclosed between two concentric perimeters.
Crown, n., A round spot shaved clean on the top of the head
Crown, n., A size of writing paper. See under Paper.
Crown, n., A coin stamped with the image of a crown; hence
Crown, n., An ornaments or decoration representing a crown; as
Crown, n., To cover
Crown, n., To bestow something upon as a mark of honor
Crown, n., To form the topmost or finishing part of; to complete; to consummate; to perfect.
Crown, n., To cause to round upward; to make anything higher at the middle than at the edges
Crown, n., To effect a lodgment upon
Crows, n. pl., A tribe of Indians of the Dakota stock
Croys, n., See Cross
Croze, n., A cooper's tool for making the grooves for the heads of casks
Crude, superl., In its natural state; not cooked or prepared by fire or heat; undressed; not altered
Crude, superl., Unripe; not mature or perfect; immature.
Crude, superl., Not reduced to order or form; unfinished; not arranged or prepared; ill-considered; immature.
Crude, superl., Undigested; unconcocted; not brought into a form to give nourishment.
Crude, superl., Having
Crude, superl., Harsh and offensive
Crudy, a., Coagulated.
Crudy, a., Characterized by crudeness; raw.
Cruel, n., See Crewel.
Cruel, a., Disposed to give pain to others; willing or pleased to hurt
Cruel, a., Causing
Cruel, a., Attended with cruetly; painful; harsh.
Cruet, n., A bottle or vessel; esp.
Cruet, n., A vessel used to hold wine
Crull, a., Curly; curled.
Crumb, n., A small fragment or piece; especially
Crumb, n., Fig.: A little; a bit; as
Crumb, n., The soft part of bread.
Crumb, v. t., To break into crumbs or small pieces with the fingers; as
Crump, a., Crooked; bent.
Crump, a., Hard or crusty; dry baked; as
Crunk, v. i., Alt. of Crunkle
Cruor, n., The coloring matter of the blood; the clotted portion of coagulated blood
Crura, n. pl., See Crus.
Crura, pl., of Crus
Cruse, n., A cup or dish.
Cruse, n., A bottle for holding water
Crush, v. t., To press or bruise between two hard bodies; to squeeze
Crush, v. t., To reduce to fine particles by pounding or grinding; to comminute; as
Crush, v. t., To overwhelm by pressure or weight; to beat or force down
Crush, v. t., To oppress or burden grievously.
Crush, v. t., To overcome completely; to subdue totally.
Crush, v. i., To be or become broken down or in
Crush, n., A violent collision or compression; a crash; destruction; ruin.
Crush, n., Violent pressure
Crust, n., The hard external coat or covering of anything; the hard exterior surface or outer shell; an incrustation; as
Crust, n., The hard exterior or surface of bread
Crust, n., The cover or case of a pie
Crust, n., The dough
Crust, n., The exterior portion of the earth
Crust, n., The shell of crabs
Crust, n., A hard mass
Crust, n., An incrustation on the interior of wine bottles
Crust, n., To cover with a crust; to cover or line with an incrustation; to incrust.
Crust, v. i., To gather or contract into a hard crust; to become incrusted.
Cruth, n., See 4th Crowd.
Crwth, n., See 4th Crowd.
Cried, imp. & p. p., of Cry
Cries, pl., of Cry
Cryal, n., The heron
Cryer, n., The female of the hawk; a falcon-gentil.
Crypt, n., A vault wholly or partly under ground; especially
Crypt, n., A simple gland
Cuban, a., Of or pertaining to Cuba or its inhabitants.
Cuban, n., A native or an inhabitant of Cuba.
Cubby, n., Alt. of Cubbyhole
Cubed, imp. & p. p., of Cube
Cubeb, n., The small
Cubic, a., Alt. of Cubical
Cubic, n., A curve of the third degree.
Cubit, n., The forearm; the ulna
Cubit, n., A measure of length
Cuddy, n., An ass; esp.
Cuddy, n., A blockhead; a lout.
Cuddy, n., A lever mounted on a tripod for lifting stones
Cuddy, n., A small cabin: also
Cuddy, n., The coalfish (Pollachius carbonarius).
Cuffy, n., A name for a negro.
Cufic, a., Of or pertaining to the older characters of the Arabic language.
Cuish, n., Defensive armor for the thighs.
Culex, n., A genus of dipterous insects
Culls, v. t., Refuse timber
Culls, v. t., Any refuse stuff
Cully, n., A person easily deceived
Cully, n., To trick
Culpa, n., Negligence or fault
Culpe, n., Blameworthiness.
Cumic, a., See Cuming.
Cumin, n., A dwarf umbelliferous plant
Cupel, n., A shallow porous cup
Cupel, v. t., To refine by means of a cupel.
Cupid, n ., The god of love
Curat, n., A cuirass or breastplate.
Curch, n., See Courche.
Curdy, a., Like curd; full of curd; coagulated.
Cured, imp. & p. p., of Cure
Curer, n., One who cures; a healer; a physician.
Curer, n., One who prepares beef
Curle, pl., of Curia
Curia, n., One of the thirty parts into which the Roman people were divided by Romulus.
Curia, n., The place of assembly of one of these divisions.
Curia, n., The place where the meetings of the senate were held; the senate house.
Curia, n., The court of a sovereign or of a feudal lord; also; his residence or his household.
Curia, n., Any court of justice.
Curia, n., The Roman See in its temporal aspects
Curio, n., Any curiosity or article of virtu.
Curly, a., Curling or tending to curl; having curls; full of ripples; crinkled.
Curry, v. t., To dress or prepare for use by a process of scraping
Curry, v. t., To dress the hair or coat of (a horse
Curry, v. t., To beat or bruise; to drub; -- said of persons.
Curry, n., A kind of sauce much used in India
Curry, n., A stew of fowl
Curry, v. t., To flavor or cook with curry.
Curst, , of Curse
Curse, v. t., To call upon divine or supernatural power to send injury upon; to imprecate evil upon; to execrate.
Curse, v. t., To bring great evil upon; to be the cause of serious harm or unhappiness to; to furnish with that which will be a cause of deep trouble; to afflict or injure grievously; to harass or torment.
Curse, v. i., To utter imprecations or curses; to affirm or deny with imprecations; to swear.
Curse, v. t., An invocation of
Curse, v. t., Evil pronounced or invoked upon another
Curse, v. t., The cause of great harm
Curst, , imp. & p. p. of Curse.
Curst, a., Froward; malignant; mischievous; malicious; snarling.
Curve, a., Bent without angles; crooked; curved; as
Curve, a., A bending without angles; that which is bent; a flexure; as
Curve, a., A line described according to some low
Curve, a., To bend; to crook; as
Curve, v. i., To bend or turn gradually from a given direction; as
Cutch, n., See Catechu.
Cutch, n., See Cultch.
Cutin, n., The substance which
Cutis, n., See Dermis.
Cytty, a., Short; as
Cutty, n., A short spoon.
Cutty, n., A short tobacco pipe.
Cutty, n., A light or unchaste woman.
Cycad, n., Any plant of the natural order Cycadaceae
Cycas, n., A genus of trees
Cycle, n., An imaginary circle or orbit in the heavens; one of the celestial spheres.
Cycle, n., An interval of time in which a certain succession of events or phenomena is completed
Cycle, n., An age; a long period of time.
Cycle, n., An orderly list for a given time; a calendar.
Cycle, n., The circle of subjects connected with the exploits of the hero or heroes of some particular period which have served as a popular theme for poetry
Cycle, n., One entire round in a circle or a spire; as
Cycle, n., A bicycle or tricycle
Cycle, v. i., To pass through a cycle of changes; to recur in cycles.
Cycle, v. i., To ride a bicycle
Cyder, n., See Cider.
Cymar, n., A slight covering; a scarf. See Simar.
Cymry, n., A collective term for the Welsh race; -- so called by themselves .
Cynic, a., Alt. of Cynical
Cynic, n., One of a sect or school of philosophers founded by Antisthenes
Cynic, n., One who holds views resembling those of the Cynics; a snarler; a misanthrope; particularly
Czech, n., One of the Czechs.
Czech, n., The language of the Czechs (often called Bohemian)
Dadle, v. i., To toddle; to walk unsteadily
Daddy, n., Diminutive of Dad.
Dagos, pl., of Dago
Dagon, , The national god of the Philistines
Dagon, n., A slip or piece.
Daily, a., Happening
Daily, n., A publication which appears regularly every day; as
Daily, adv., Every day; day by day; as
Daint, n., Something of exquisite taste; a dainty.
Daint, a., Dainty.
Dairy, n., The place
Dairy, n., That department of farming which is concerned in the production of milk
Dairy, n., A dairy farm.
Daisy, n., A genus of low herbs (Bellis)
Daisy, n., The whiteweed (Chrysanthemum Leucanthemum)
Daker, n., Alt. of Dakir
Dakir, n., A measure of certain commodities by number
Dally, v. i., To waste time in effeminate or voluptuous pleasures
Dally, v. i., To interchange caresses
Dally, v. t., To delay unnecessarily; to while away.
Daman, n., A small herbivorous mammal of the genus Hyrax. The species found in Palestine and Syria is Hyrax Syriacus; that of Northern Africa is H. Brucei; -- called also ashkoko
Damar, n., See Dammar.
Dampy, a., Somewhat damp.
Dampy, a., Dejected; gloomy; sorrowful.
Dance, v. i., To move with measured steps
Dance, v. i., To move nimbly or merrily; to express pleasure by motion; to caper; to frisk; to skip about.
Dance, v. t., To cause to dance
Dance, v. i., The leaping
Dance, v. i., A tune by which dancing is regulated
Dancy, a., Same as Dancette.
Dandi, n., A boatman; an oarsman.
Dandy, n., One who affects special finery or gives undue attention to dress; a fop; a coxcomb.
Dandy, n., A sloop or cutter with a jigger on which a lugsail is set.
Dandy, n., A small sail carried at or near the stern of small boats; -- called also jigger
Dandy, n., A dandy roller. See below.
Dansk, a., Danish.
Darby, n., A plasterer's float
Durst, imp., of Dare
Dared, , of Dare
Dared, p. p., of Dare
Dared, imp. & p. p., of Dare
Darer, n., One who dares or defies.
Daric, n., A gold coin of ancient Persia
Daric, n., A silver coin of about 86 grains
Daric, n., Any very pure gold coin.
Darky, n., A negro.
Daroo, n., The Egyptian sycamore (Ficus Sycamorus). See Sycamore.
Dashy, a., Calculated to arrest attention; ostentatiously fashionable; showy.
Daswe, v. i., See Dasewe
Dated, imp. & p. p., of Date
Dater, n., One who dates.
Datum, n., Something given or admitted; a fact or principle granted; that upon which an inference or an argument is based; -- used chiefly in the plural.
Datum, n., The quantities or relations which are assumed to be given in any problem.
Dauby, a., Smeary; viscous; glutinous; adhesive.
Daunt, v. t., To overcome; to conquer.
Daunt, v. t., To repress or subdue the courage of; to check by fear of danger; to cow; to intimidate; to dishearten.
Davit, n., A spar formerly used on board of ships
Davit, n., Curved arms of timber or iron
Dazed, imp. & p. p., of Daze
Deads, n. pl., The substances which inclose the ore on every side.
Dealt, imp. & p. p., of Deal
Deare, , variant of Dere
Dearn, a., Secret; lonely; solitary; dreadful.
Dearn, v. t., Same as Darn.
Deary, n., A dear; a darling.
